Car Names,Years of Production,Number Of,BodyStyles
   Hyundai Santa Fe 2.7i V6 2WD ActiveVersion,2006 - 2010,5,"SUV
"
   Hyundai Santa Fe 2.4i CVVT 2WD ActiveVersion,2010 - 2012,5,"SUV
"
   Hyundai Santa Fe 2.4 GDI CVVT 2WD i-Motion,2012 - 2014,5,"SUV
"
   Hyundai Scoupe 1.5i GS,1990 - 1992,2,"Coupe
"
   Hyundai Scoupe 1.5i,1992 - 1996,2,"Coupe
"
   Hyundai Sonata 1.8i GL,1989 - 1991,4,"Sedan
"
   Hyundai Sonata 1.8i GL,1993 - 1996,4,"Sedan
"
   Hyundai Sonata 2.0i 16V GLX,1998 - 2000,4,"Sedan
"
   Hyundai Sonata 2.0i GL,1998 - 1998,4,"Sedan
"
   Hyundai Sonata 2.0i GLS,2001 - 2004,4,"Sedan
"
   Hyundai Sonata 2.0i ActiveVersion,2006 - 2008,4,"Sedan
"
   Hyundai Sonata 2.0i DynamicVersion,2008 - 2010,4,"Sedan
"
   Hyundai Terracan 3.5i V6 Executive,2001 - 2004,5,"SUV
"
   Hyundai Terracan 3.5i V6 Executive,2004 - 2007,5,"SUV
"
   Hyundai Trajet 2.0i GL,2000 - 2004,5,"MPV
"
   Hyundai Trajet 2.0i CVVT DynamicVersion,2004 - 2008,5,"MPV
"
   Hyundai Tucson 2.0i CVVT ActiveVersion 2WD,2004 - 2010,5,"SUV
"
   Hyundai Veloster 1.6 GDI i-Motion,2011 - 2014,4,"Hatchback
"
   Hyundai XG 2.5i V6,2000 - 2003,4,"Sedan
"
   Hyundai XG 3.5i V6,2003 - 2004,4,"Sedan
"
   Infiniti EX37,2008 - 2012,5,"SUV
"
   Infiniti FX37 GT,2008 - 2013,5,"SUV
"
   Infiniti G37,2008 - 2011,4,"Sedan
"
   Infiniti G37 Coupe,2008 - 2011,2,"Coupe
"
   Infiniti G37 Cabrio GT,2009 - 2011,2,"Convertible
"
   Infiniti M37,2010 - 2014,4,"Sedan
"
   Jaguar S-Type 3.0 V6,1999 - 2002,4,"Sedan
"
   Jaguar S-Type 2.5 V6,2002 - 2004,4,"Sedan
"
   Jaguar S-Type 2.5 V6,2004 - 2005,4,"Sedan
"
   Jaguar X-Type 2.0 V6 Business Edition,2003 - 2005,4,"Sedan
"
   Jaguar X-Type 2.5 V6,2008 - 2009,4,"Sedan
"
   Jaguar X-Type Estate 2.0 V6 Business Plus,2004 - 2005,5,"Station wagon
"
   Jaguar X-Type Estate 2.5 V6,2008 - 2009,5,"Station wagon
"
   Jaguar XF 3.0 V6 Luxury,2008 - 2011,4,"Sedan
"
   Jaguar XF 2.0 SC,2012 - 2015,4,"Sedan
"
   Jaguar V12,1986 - 1992,4,"Sedan
"
   Jaguar XJ 3.4,1982 - 1985,4,"Sedan
"
   Jaguar XJ6 2.9,1986 - 1990,4,"Sedan
"
   Jaguar XJ6 3.2,1994 - 1996,4,"Sedan
"
   Jaguar XJ 3.2 Executive,1997 - 2003,4,"Sedan
"
,,,
,,,
,,,
   Jaguar XJ6 3.0,2003 - 2007,4,"Sedan
"
   Jaguar XJ6 3.0,2007 - 2009,4,"Sedan
"
   Jaguar XJ 2.0 SC Luxury,2012 - 2015,4,"Sedan
"
   Jaguar XJS 3.6,1985 - 1987,2,"Coupe
"
   Jaguar XJS 3.6 Cabrio,1985 - 1987,2,"Convertible
"
   Jaguar XJS 4.0 Convertible,1992 - 1993,2,"Convertible
"
   Jaguar XK8,1996 - 2002,2,"Coupe
"
   Jaguar XK8,2002 - 2006,2,"Coupe
"
   Jaguar XK 3.5,2007 - 2009,2,"Coupe
"
   Jaguar XK 5.0 V8,2009 - 2011,2,"Coupe
"
   Jaguar XK Coupe 5.0 V8,2011 - 2015,2,"Coupe
"
   Jaguar XK8 Convertible,1996 - 2002,2,"Convertible
"
   Jaguar XK8 Convertible,2002 - 2006,2,"Convertible
"
   Jaguar XK 3.5 Convertible,2007 - 2009,2,"Convertible
"
   Jaguar XK 5.0 V8 Convertible,2009 - 2011,2,"Convertible
"
   Jaguar XK Convertible 5.0 V8,2011 - 2015,2,"Convertible
"
   Jeep Cherokee 2.1 TD SE,1989 - 1993,3,"SUV
"
   Jeep Cherokee 2.5i,1993 - 1995,5,"SUV
"
   Jeep Cherokee 2.5i S,1997 - 1999,5,"SUV
"
   Jeep Cherokee 2.4i Sport,2001 - 2002,5,"SUV
"
   Jeep Cherokee 2.4i Sport,2005 - 2006,5,"SUV
"
   Jeep Cherokee 3.7 V6 Sport,2008 - 2011,5,"SUV
"
   Jeep Commander 4.7i V8 Sport,2006 - 2010,5,"SUV
"
   Jeep Compass 2.4 Sport,2006 - 2011,5,"SUV
"
   Jeep Compass 2.0 Sport 2WD Liberty,2012 - 2013,5,"SUV
"
   Jeep Grand Cherokee 4.0i Laredo,1993 - 1999,5,"SUV
"
   Jeep Grand Cherokee 4.0i Laredo,1999 - 2001,5,"SUV
"
   Jeep Grand Cherokee 4.0i Laredo,2001 - 2002,5,"SUV
"
   Jeep Grand Cherokee 4.0i Limited,2003 - 2005,5,"SUV
"
   Jeep Grand Cherokee 3.7 V6 Laredo,2006 - 2008,5,"SUV
"
   Jeep Grand Cherokee 3.7 V6 Laredo,2008 - 2011,5,"SUV
"
   Jeep Grand Cherokee 3.6 V6 Laredo,2011 - 2013,5,"SUV
"
   Jeep Patriot 2.4 Sport Liberty,2010 - 2011,5,"SUV
"
   Jeep Wrangler 2.5i Soft Top,1991 - 1993,2,"SUV
"
   Jeep Wrangler 2.5i Soft Top,1996 - 2002,2,"SUV
"
   Jeep Wrangler 2.4i Soft Top Sport,2002 - 2007,2,"SUV
"
   Jeep Wrangler 3.8 Sport,2007 - 2011,2,"SUV
"
   Jeep Wrangler 4.0i Soft Top,1991 - 1995,3,"SUV
"
   Jeep Wrangler Unlimited 3.8 Sport,2007 - 2011,4,"SUV
"
   Kia Carens 1.8 RS,2000 - 2001,5,"MPV
"
   Kia Carens 1.6 LX,2002 - 2002,5,"MPV
"
   Kia Carens 1.6 CVVT X-tra,2009 - 2011,5,"MPV
"
   Kia Carnival 2.5 V6,1999 - 2002,4,"MPV
"
   Kia Carnival 2.5 V6 LX,2002 - 2006,5,"MPV
"
   Kia Carnival 2.7 V6 LX,2006 - 2007,5,"MPV
"
   Kia Pro_Ceed 1.4 CVVT Fifteen,2009 - 2009,3,"Hatchback
"
   Kia Pro_Ceed 1.4 CVVT X-pect,2010 - 2011,3,"Hatchback
"
   Kia Pro_Ceed 1.4 CVVT,2011 - 2011,3,"Hatchback
"
,,,
,,,
,,,
   Kia Ceed 1.4 CVVT X-pect,2007 - 2009,5,"Hatchback
"
   Kia Ceed 1.4 CVVT X-pect,2009 - 2011,5,"Hatchback
"
   Kia Ceed 1.6 GDI,2012 - 2014,5,"Hatchback
"
   Kia Ceed Sporty Wagon 1.4 CVVT X-pect,2008 - 2009,5,"Station wagon
"
   Kia Ceed Sporty Wagon 1.4 CVVT X-pect,2009 - 2011,5,"Station wagon
"
   Kia Ceed SW 1.6 GDI,2012 - 2014,5,"Station wagon
"
   Kia Cerato 1.6 LX,2004 - 2007,5,"Hatchback
"
   Kia Cerato 1.6 LX,2004 - 2007,4,"Sedan
"
   Kia Cerato 1.6 LX,2007 - 2007,4,"Sedan
"
   Kia Clarus 1.8 LX,1997 - 1999,4,"Sedan
"
   Kia Clarus 1.8 SLX,1999 - 2001,4,"Sedan
"
   Kia Clarus Wagon 1.8 SLX,1999 - 2001,5,"Station wagon
"
   Kia Joice 2.0 RS,1999 - 2002,5,"MPV
"
   Kia Magentis 2.0,2001 - 2003,4,"Sedan
"
   Kia Magentis 2.0 SE,2003 - 2004,4,"Sedan
"
   Kia Magentis 2.0 CVVT EX,2006 - 2007,4,"Sedan
"
   Kia Mentor 1.6 RS,2001 - 2002,4,"Sedan
"
   Kia Opirus 3.5 V6,2003 - 2008,4,"Sedan
"
   Kia Optima 2.0 CVVT Hybrid Plus Pack,2012 - 2013,4,"Sedan
"
   Kia Picanto 1.0 CVVT,2011 - 2013,3,"Hatchback
"
   Kia Picanto 1.0 L,2005 - 2007,5,"Hatchback
"
   Kia Picanto 1.0 X,2007 - 2010,5,"Hatchback
"
   Kia Picanto 1.0 X,2010 - 2011,5,"Hatchback
"
   Kia Picanto 1.0 CVVT,2011 - 2013,5,"Hatchback
"
   Kia Pride Profit,1997 - 2000,3,"Hatchback
"
   Kia Pride Profit,1997 - 2000,5,"Hatchback
"
   Kia Pride Wagon GLX,1999 - 2000,5,"Station wagon
"
   Kia Rio 1.2 CVVT,2011 - 2014,3,"Hatchback
"
   Kia Rio 1.3 Profit,2001 - 2003,5,"Hatchback
"
   Kia Rio 1.3 RS,2003 - 2005,5,"Hatchback
"
   Kia Rio 1.4 L,2005 - 2007,5,"Hatchback
"
   Kia Rio 1.2 CVVT,2011 - 2014,5,"Hatchback
"
   Kia Rio 1.3 Profit,2001 - 2003,4,"Sedan
"
   Kia Rio 1.3 RS,2003 - 2004,4,"Sedan
"
   Kia Sephia 1.5i SLX,1996 - 1998,5,"Hatchback
"
   Kia Sephia 1.6i SLX,1993 - 1995,4,"Sedan
"
   Kia Sephia 1.5i SLX,1995 - 1998,4,"Sedan
"
   Kia Sephia 1.5 RS,1998 - 2001,4,"Sedan
"
   Kia Shuma 1.5 RS,1998 - 2001,5,"Hatchback
"
   Kia Shuma 1.6 RS,2001 - 2002,5,"Hatchback
"
   Kia Sorento 2.4 16V LX,2002 - 2005,5,"SUV
"
   Kia Sorento 3.3 V6 Comfort,2008 - 2009,5,"SUV
"
   Kia Sorento 2.4 X-pect Cool,2009 - 2011,5,"SUV
"
   Kia Soul 1.6 CVVT X,2009 - 2012,5,"Hatchback
"
   Kia Soul 1.6 GDi Rhythm,2012 - 2013,5,"Hatchback
"
   Kia Sportage 2.0i SOHC,1994 - 1999,5,"SUV
"
   Kia Sportage 2.0 16V DOHC,1999 - 2003,5,"SUV
"
   Kia Sportage 2.0 CVVT 2WD Comfort,2004 - 2007,5,"SUV
"
,,,
,,,
,,,
   Kia Sportage 2.0 CVVT 2WD X-pect,2007 - 2008,5,"SUV
"
   Kia Sportage 2.0 CVVT 2WD X-pect Cool,2008 - 2010,5,"SUV
"
   Kia Sportage 1.6 GDI X-tra,2010 - 2012,5,"SUV
"
   Kia Venga 1.4 CVVT X-pect,2009 - 2012,5,"Hatchback
"
   Lada 110 8V,1999 - 2005,4,"Sedan
"
   Lada 111 8V,2000 - 2005,5,"Station wagon
"
   Lada 112 8V,2000 - 2005,5,"Hatchback
"
   Lada Kalina 1119 1.4,2010 - 2013,5,"Hatchback
"
   Lada Kalina 1118 1.4,2010 - 2013,4,"Sedan
"
   Lada Kalina 1117 1.4,2010 - 2013,5,"Station wagon
"
   Lada Niva,1978 - 1991,3,"SUV
"
   Lada Samara 1.1,1988 - 1990,3,"Hatchback
"
   Lada Samara 1.1,1991 - 1996,5,"Hatchback
"
   Lada Samara Diva 1.3,1992 - 1996,4,"Sedan
"
   Lada Samara Cabriolet 1.5i,1995 - 1996,2,"Convertible
"
   Lamborghini Aventador LP700-4,2011 - 2017,2,"Coupe
"
   Lamborghini Gallardo,2003 - 2006,2,"Coupe
"
   Lamborghini Gallardo Spyder,2006 - 2009,2,"Convertible
"
   Lamborghini Murcielago,2001 - 2006,2,"Coupe
"
   Lamborghini Murcielago LP640,2006 - 2011,2,"Coupe
"
   Lamborghini Murcielago Roadster,2004 - 2007,2,"Convertible
"
   Lamborghini Murcielago Roadster LP640,2007 - 2011,2,"Convertible
"
   Lancia Dedra 1.6 i.e.,1990 - 1994,4,"Sedan
"
   Lancia Dedra 1.6 LE,1995 - 1998,4,"Sedan
"
   Lancia Dedra 1.6 16v,1998 - 1999,4,"Sedan
"
   Lancia Dedra Station Wagon 1.6 LE,1994 - 1998,5,"Station wagon
"
   Lancia Dedra SW 1.6 16v,1998 - 1999,5,"Station wagon
"
   Lancia Delta HPE 2.0 16v,1995 - 1996,3,"Hatchback
"
   Lancia Delta HPE 1.6 16v,1996 - 1998,3,"Hatchback
"
   Lancia Delta HPE 1.6 16v,1998 - 2000,3,"Hatchback
"
   Lancia Delta 1300,1980 - 1983,5,"Hatchback
"
   Lancia Delta 1.3,1983 - 1991,5,"Hatchback
"
   Lancia Delta 1.6 i.e.,1993 - 1996,5,"Hatchback
"
   Lancia Delta 1.6 16v LE,1996 - 1998,5,"Hatchback
"
   Lancia Delta 1.6 16v LS,1998 - 2000,5,"Hatchback
"
   Lancia Delta 1.4 T-Jet 120hp Argento,2008 - 2010,5,"Hatchback
"
   Lancia Delta 1.4 T-Jet 120hp Steel,2011 - 2013,5,"Hatchback
"
   Lancia Flavia 2.4,2012 - 2015,2,"Convertible
"
   Lancia Kappa 2.0 20v LE,1995 - 1996,4,"Sedan
"
   Lancia Kappa SW 2.0 20v LE,1996 - 1998,5,"Station wagon
"
   Lancia Kappa Coupe 2.4 20v,1997 - 2000,2,"Coupe
"
   Lancia Lybra 1.6 16v,1999 - 2001,4,"Sedan
"
   Lancia Lybra 1.6 16v LS Plus,2003 - 2005,4,"Sedan
"
   Lancia Lybra SW 1.6 16v,1999 - 2001,5,"Station wagon
"
   Lancia Lybra SW 1.6 16v LS Plus,2003 - 2005,5,"Station wagon
"
   Lancia Musa 1.4 8v Argento,2007 - 2008,5,"MPV
"
   Lancia Musa 1.4 8v Argento,2008 - 2011,5,"MPV
"
   Lancia Phedra 2.0 16v,2004 - 2005,5,"MPV
"
,,,
,,,
,,,
   Lancia Phedra 2.0 Multijet 16v Argento,2008 - 2011,5,"MPV
"
   Lancia Thema 2.0 i.e.,1985 - 1988,4,"Sedan
"
   Lancia Thema 2.0 i.e. E,1991 - 1992,4,"Sedan
"
   Lancia Thema 2.0 i.e.,1992 - 1995,4,"Sedan
"
   Lancia Thema 3.6 V6 Pentastar Gold,2011 - 2012,4,"Sedan
"
   Lancia Thema Pininfarina 2.0 i.e. Turbo,1989 - 1989,5,"Station wagon
"
   Lancia Thema Pininfarina 2.0 i.e. 16V,1991 - 1992,5,"Station wagon
"
   Lancia Thema Station Wagon 2.0 i.e. 16V,1993 - 1994,5,"Station wagon
"
   Lancia Thesis 2.4 20v Executive,2002 - 2008,4,"Sedan
"
   Lancia Voyager 3.6 V6 Pentastar Silver,2012 - 2016,5,"MPV
"
   Lancia Ypsilon 10,1985 - 1987,3,"Hatchback
"
   Lancia Ypsilon 1.1 i.e.,1993 - 1994,3,"Hatchback
"
   Lancia Ypsilon 1.1 elefantino,1997 - 1998,3,"Hatchback
"
   Lancia Ypsilon 1.2 elefantino blu,2000 - 2003,3,"Hatchback
"
   Lancia Ypsilon 1.2 8v,2003 - 2006,3,"Hatchback
"
   Lancia Ypsilon 1.2 8v Argento,2006 - 2010,3,"Hatchback
"
   Lancia Ypsilon 1.2 8v Silver,2011 - 2013,5,"Hatchback
"
   Lancia Zeta 2.0 16v LS,2000 - 2001,5,"MPV
"
   Land Rover Defender 90 V8 Anniversary,1998 - 1998,3,"SUV
"
   Land Rover Defender 90 Td5 Soft Top E,2002 - 2003,3,"SUV
"
   Land Rover Defender 90 2.4 TD Station Wagon E,2007 - 2011,3,"SUV
"
   Land Rover Defender 90 2.2 TD Station Wagon,2011 - 2016,3,"SUV
"
   Land Rover Defender 110 V8 County,1991 - 1995,5,"SUV
"
   Land Rover Defender 110 Td5 Station Wagon E,2002 - 2007,5,"SUV
"
   Land Rover Defender 110 2.4 TD Station Wagon E,2007 - 2011,5,"SUV
"
   Land Rover Defender 110 2.2 TD Station Wagon,2011 - 2016,5,"SUV
"
   Land Rover Discovery V8i,1990 - 1992,3,"SUV
"
   Land Rover Discovery V8i Leisure,1994 - 1999,3,"SUV
"
   Land Rover Discovery V8i,1990 - 1992,5,"SUV
"
   Land Rover Discovery V8i Leisure,1994 - 1996,5,"SUV
"
   Land Rover Discovery V8i,2001 - 2001,5,"SUV
"
   Land Rover Discovery 4.0 V8i E,2002 - 2004,5,"SUV
"
   Land Rover Discovery 4.4 V8 SE,2004 - 2008,5,"SUV
"
   Land Rover Discovery 5.0 V8 Ultimate,2010 - 2011,5,"SUV
"
   Land Rover Freelander Hardback 1.8 i,1998 - 2000,3,"SUV
"
   Land Rover Freelander Hardback 1.8i S,2000 - 2002,3,"SUV
"
   Land Rover Freelander Hardback 1.8i E,2002 - 2003,3,"SUV
"
   Land Rover Freelander Hardback 1.8 E,2003 - 2005,3,"SUV
"
   Land Rover Freelander Softback 1.8i E,2002 - 2003,3,"SUV
"
   Land Rover Freelander 3.2 i6 S,2007 - 2012,5,"SUV
"
   Land Rover Freelander Station Wagon 1.8 i,1998 - 2000,5,"SUV
"
   Land Rover Freelander Station Wagon 1.8i S,2000 - 2002,5,"SUV
"
   Land Rover Freelander Station Wagon 1.8i E,2002 - 2003,5,"SUV
"
   Land Rover Freelander Station Wagon 1.8 E,2003 - 2005,5,"SUV
"
   Land Rover Range Rover 3.5i,1988 - 1989,3,"SUV
"
   Land Rover Range Rover 3.5i Vogue,1988 - 1989,5,"SUV
"
   Land Rover Range Rover 4.0,1994 - 1998,5,"SUV
"
   Land Rover Range Rover V8 SE,2002 - 2005,5,"SUV
"
,,,
,,,
,,,
   Land Rover Range Rover V8 SE,2005 - 2007,5,"SUV
"
   Land Rover Range Rover V8 5.0 Supercharged,2009 - 2013,5,"SUV
"
   Land Rover Range Rover Evoque Coupe 2.0 Si4 4WD Pure,2011 - 2013,3,"SUV
"
   Land Rover Range Rover Evoque 2.0 Si4 4WD Pure,2011 - 2013,5,"SUV
"
   Land Rover Range Rover Sport 4.4 V8 SE,2005 - 2007,5,"SUV
"
   Land Rover Range Rover Sport V8 5.0 Supercharged,2009 - 2013,5,"SUV
"
   Landwind CV9 1.6 Base,2010 - 2016,5,"MPV
"
   Lexus CT 200h Hybrid,2011 - 2014,5,"Hatchback
"
   Lexus GS 300,1993 - 1997,4,"Sedan
"
   Lexus GS 300,1997 - 2000,4,"Sedan
"
   Lexus GS 300,2000 - 2005,4,"Sedan
"
   Lexus GS 300 Business,2005 - 2007,4,"Sedan
"
   Lexus GS 300,2007 - 2010,4,"Sedan
"
   Lexus GS 300h Business Line,2014 - 2016,4,"Sedan
"
   Lexus IS 200 Business,2002 - 2005,4,"Sedan
"
   Lexus IS 250 Business,2005 - 2009,4,"Sedan
"
   Lexus IS 250,2010 - 2013,4,"Sedan
"
   Lexus IS 200 SportCross Business,2002 - 2005,4,"Sedan
"
   Lexus IS 250C Luxury,2009 - 2013,2,"Convertible
"
   Lexus LS 400,1990 - 1995,4,"Sedan
"
   Lexus LS 400,1995 - 1997,4,"Sedan
"
   Lexus LS 400,1997 - 2000,4,"Sedan
"
   Lexus LS 430,2000 - 2003,4,"Sedan
"
   Lexus LS 430 Executive,2003 - 2006,4,"Sedan
"
   Lexus LS 460 Luxury,2006 - 2010,4,"Sedan
"
   Lexus LS 600h Executive,2010 - 2013,4,"Sedan
"
   Lexus RX 300,2000 - 2003,5,"SUV
"
   Lexus RX 300,2003 - 2006,5,"SUV
"
   Lexus RX 350 Pure,2009 - 2012,5,"SUV
"
   Lexus RX 450h 2WD Business Line,2012 - 2015,5,"SUV
"
   Lexus SC 430,2001 - 2010,2,"Convertible
"
   Lotus Elise,1997 - 2001,2,"Convertible
"
   Lotus Elise,2001 - 2006,2,"Convertible
"
   Lotus Elise CR,2011 - present,2,"Convertible
"
   Lotus Esprit GT3,1997 - 2000,2,"Coupe
"
   Lotus Europa S,2006 - 2011,2,"Coupe
"
   Lotus Evora 2+0,2009 - present,2,"Coupe
"
   Lotus Exige,2000 - 2003,2,"Coupe
"
   Lotus Exige,2004 - 2008,2,"Coupe
"
   Maserati GranCabrio,2010 - 2018,2,"Convertible
"
   Maserati GranTurismo,2007 - 2018,2,"Coupe
"
   Maserati Quattroporte,1995 - 1998,4,"Sedan
"
   Maserati Quattroporte,2004 - 2008,4,"Sedan
"
   Maserati Quattroporte,2008 - 2013,4,"Sedan
"
   Maybach 57,2002 - 2012,4,"Sedan
"
   Maybach 62,2002 - 2012,4,"Sedan
"
   Mazda 121 1.1 DX,1988 - 1991,3,"Hatchback
"
   Mazda 121 1.3i LX,1996 - 2000,3,"Hatchback
"
,,,
,,,
,,,
   Mazda 121 1.3i GLX,2000 - 2001,3,"Hatchback
"
   Mazda 121 1.3i LX,1998 - 1999,5,"Hatchback
"
   Mazda 121 1.3i GLX,2000 - 2001,5,"Hatchback
"
   Mazda 121 1.3i LX,1991 - 1996,4,"Sedan
"
   Mazda 121 Coupe,1979 - 1981,2,"Coupe
"
   Mazda 2 1.3 XS,2010 - 2010,3,"Hatchback
"
   Mazda 2 1.3 S,2010 - 2012,3,"Hatchback
"
   Mazda 2 1.3 XS,2010 - 2010,5,"Hatchback
"
   Mazda 2 1.3 S,2010 - 2012,5,"Hatchback
"
   Mazda 2 1.2 Exclusive,2003 - 2006,5,"MPV
"
   Mazda 2 1.2 Exclusive,2006 - 2008,5,"MPV
"
   Mazda 3 1.4 S-VT Exclusive,2006 - 2008,5,"Hatchback
"
   Mazda 3 1.6 S,2009 - 2011,5,"Hatchback
"
   Mazda 3 1.6 S,2011 - 2013,5,"Hatchback
"
   Mazda 3 Sport 1.4 Exclusive,2004 - 2006,5,"Hatchback
"
   Mazda 3 Sedan 1.6 Touring,2003 - 2006,4,"Sedan
"
   Mazda 3 Sedan 1.6 S-VT Touring,2006 - 2008,4,"Sedan
"
   Mazda 3 Sedan 1.6 S,2009 - 2010,4,"Sedan
"
   Mazda 3 Sedan 1.6 TS,2011 - 2013,4,"Sedan
"
   Mazda 323 1.3 SEC,1979 - 1980,3,"Hatchback
"
   Mazda 323 1.1 C,1980 - 1982,3,"Hatchback
"
   Mazda 323 1.1,1982 - 1985,3,"Hatchback
"
   Mazda 323 1.1 L,1985 - 1987,3,"Hatchback
"
   Mazda 323 1.3 L,1987 - 1989,3,"Hatchback
"
   Mazda 323 1.3 LX,1989 - 1991,3,"Hatchback
"
   Mazda 323 1.3i Millionaire,1994 - 1995,3,"Hatchback
"
   Mazda 323 1.3i LX,1994 - 1997,3,"Hatchback
"
   Mazda 323 P 1.3i LX,1997 - 1998,3,"Hatchback
"
   Mazda 323 P 1.3i LX,1998 - 2000,3,"Hatchback
"
   Mazda 323 1.3 SN,1979 - 1980,5,"Hatchback
"
   Mazda 323 1.3 DX,1980 - 1982,5,"Hatchback
"
   Mazda 323 1.3 DX,1982 - 1985,5,"Hatchback
"
   Mazda 323 1.3 LX,1985 - 1987,5,"Hatchback
"
   Mazda 323 1.3 LX,1987 - 1989,5,"Hatchback
"
   Mazda 323 Estate 1.7 D L,1986 - 1987,5,"Hatchback
"
   Mazda 323 F 1.6i LX,1989 - 1991,5,"Hatchback
"
   Mazda 323 F 1.6i Millionaire,1994 - 1995,5,"Hatchback
"
   Mazda 323 F 1.5i GLX,1994 - 1997,5,"Hatchback
"
   Mazda 323 F 1.5i GX,1997 - 1998,5,"Hatchback
"
   Mazda 323 FastBreak 1.3i LX,1998 - 2001,5,"Hatchback
"
   Mazda 323 FastBreak 1.3 Comfort,2001 - 2003,5,"Hatchback
"
   Mazda 323 1.6i GT,1986 - 1987,3,"Sedan
"
   Mazda 323 1.3 DX,1981 - 1982,4,"Sedan
"
   Mazda 323 1.1 L,1984 - 1985,4,"Sedan
"
   Mazda 323 1.3 LX,1985 - 1987,4,"Sedan
"
   Mazda 323 1.3 LX,1987 - 1989,4,"Sedan
"
   Mazda 323 1.3 LX,1989 - 1991,4,"Sedan
"
   Mazda 323 1.3i Millionaire,1994 - 1995,4,"Sedan
"
,,,
,,,
,,,
   Mazda 323 1.3i LX,1994 - 1997,4,"Sedan
"
   Mazda 323 Sedan 1.3i LX,1997 - 1998,4,"Sedan
"
   Mazda 323 Sedan 1.3i LX,1998 - 2001,4,"Sedan
"
   Mazda 323 Sedan 1.3 Comfort,2001 - 2003,4,"Sedan
"
   Mazda 323 Estate 1.4 SN,1979 - 1981,5,"Station wagon
"
   Mazda 323 Estate 1.3,1982 - 1985,5,"Station wagon
"
   Mazda 323 Estate 1.3 L,1986 - 1987,5,"Station wagon
"
   Mazda 323 Estate 1.5 LX,1987 - 1990,5,"Station wagon
"
   Mazda 323 Estate 1.6i LX,1990 - 1994,5,"Station wagon
"
   Mazda 323 Coupe 1.5i LX,1997 - 1998,3,"Coupe
"
   Mazda 5 1.8 Exclusive,2005 - 2008,5,"MPV
"
   Mazda 5 1.8 Exclusive,2008 - 2009,5,"MPV
"
   Mazda 5 1.8 S,2010 - 2012,5,"MPV
"
   Mazda 6 1.8 Exclusive,2008 - 2009,5,"Hatchback
"
   Mazda 6 1.8 S,2010 - 2012,5,"Hatchback
"
   Mazda 6 Sport 1.8 Exclusive,2002 - 2005,5,"Hatchback
"
   Mazda 6 Sport 1.8 Exclusive,2005 - 2007,5,"Hatchback
"
   Mazda 6 1.8 Exclusive,2002 - 2005,4,"Sedan
"
   Mazda 6 1.8 Exclusive,2005 - 2007,4,"Sedan
"
   Mazda 6 1.8 Exclusive,2007 - 2009,4,"Sedan
"
   Mazda 6 1.8 S,2010 - 2012,4,"Sedan
"
   Mazda 6 SportBreak 1.8 Exclusive,2002 - 2005,5,"Station wagon
"
   Mazda 6 SportBreak 1.8 Exclusive,2005 - 2007,5,"Station wagon
"
   Mazda 6 SportBreak 1.8 Exclusive,2008 - 2009,5,"Station wagon
"
   Mazda 6 SportBreak 1.8 S,2010 - 2012,5,"Station wagon
"
   Mazda 626 1.6 LX,1983 - 1985,5,"Hatchback
"
   Mazda 626 1.6 LX,1985 - 1987,5,"Hatchback
"
   Mazda 626 1.8 LX,1987 - 1990,5,"Hatchback
"
   Mazda 626 1.8i Millionaire,1994 - 1995,5,"Hatchback
"
   Mazda 626 1.8i LX,1995 - 1998,5,"Hatchback
"
   Mazda 626 1.8i GX,1997 - 1999,5,"Hatchback
"
   Mazda 626 1.8,1999 - 2002,5,"Hatchback
"
   Mazda 626 1.6 DX,1980 - 1983,4,"Sedan
"
   Mazda 626 1.6 DX,1983 - 1985,4,"Sedan
"
   Mazda 626 1.6 DX,1985 - 1987,4,"Sedan
"
   Mazda 626 1.8 DX,1987 - 1990,4,"Sedan
"
   Mazda 626 1.8i Millionaire,1994 - 1995,4,"Sedan
"
   Mazda 626 1.8i LX,1995 - 1998,4,"Sedan
"
   Mazda 626 1.8i GX,1997 - 1999,4,"Sedan
"
   Mazda 626 1.8,1999 - 2002,4,"Sedan
"
   Mazda 626 Wagon 1.8 LX,1988 - 1990,5,"Station wagon
"
   Mazda 626 Wagon 2.0i LX,1992 - 1997,5,"Station wagon
"
   Mazda 626 Wagon 1.8i LX,1998 - 1999,5,"Station wagon
"
   Mazda 626 Wagon 1.8,1999 - 2002,5,"Station wagon
"
   Mazda 626 Coupe 1.6 LX,1983 - 1985,2,"Coupe
"
   Mazda 626 Coupe 1.6 LX,1985 - 1987,2,"Coupe
"
   Mazda 626 Coupe 2.0i GLX,1989 - 1993,2,"Coupe
"
   Mazda 626 Hardtop 1.6 DX,1980 - 1983,2,"Coupe
"
,,,
,,,
,,,
   Mazda CX-5 SkyActiv-G 2.0 S,2012 - 2015,5,"SUV
"
   Mazda CX-7 2.3 DISI Turbo Touring,2007 - 2008,5,"SUV
"
   Mazda CX-7 2.3 DISI Turbo GT-L,2009 - 2012,5,"SUV
"
   Mazda CX-9 3.7 V6,2009 - 2010,5,"SUV
"
   Mazda Demio 1.3 LX,1998 - 2000,5,"MPV
"
   Mazda Demio 1.3 Comfort,2000 - 2003,5,"MPV
"
   Mazda MPV 3.0i V6 LX,1996 - 1999,5,"MPV
"
   Mazda MPV 2.0 Comfort,1999 - 2002,5,"MPV
"
   Mazda MPV 2.3 Comfort,2002 - 2003,5,"MPV
"
